u_BT,PosXRight,PosYRight,u_VSP1,Absolute Time
0.000000,0.000000,0.000000,0.000000,3568296677.390254
0.000000,0.000000,0.000000,0.000000,3568296677.400255
0.000000,0.000000,0.000000,0.000000,3568296677.410254
0.000000,0.000000,0.000000,0.000000,3568296677.420255
0.000000,0.000000,0.000000,0.000000,3568296677.430254
0.000000,0.000000,0.000000,0.000000,3568296677.440256
0.000000,0.000000,0.000000,0.000000,3568296677.450255
0.000000,0.000000,0.000000,0.000000,3568296677.460256
0.000000,0.000000,0.000000,0.000000,3568296677.470255
0.000000,0.000000,0.000000,0.000000,3568296677.480257
0.000000,0.000000,0.000000,0.000000,3568296677.490256
0.000000,0.000000,0.000000,0.000000,3568296677.500257
0.000000,0.000000,0.000000,0.000000,3568296677.510256
0.000000,0.000000,0.000000,0.000000,3568296677.520257
0.000000,0.000000,0.000000,0.000000,3568296677.530258
0.000000,0.000000,0.000000,0.000000,3568296677.540257
0.000000,0.000000,0.000000,0.000000,3568296677.550258
0.000000,0.000000,0.000000,0.000000,3568296677.560259
0.000000,0.000000,0.000000,0.000000,3568296677.570258
0.000000,0.000000,0.000000,0.000000,3568296677.580259
0.000000,0.000000,0.000000,0.000000,3568296677.590259
0.000000,0.000000,0.000000,0.000000,3568296677.600259
0.000000,0.000000,0.000000,0.000000,3568296677.610260
0.000000,0.000000,0.000000,0.000000,3568296677.620260
0.000000,0.000000,0.000000,0.000000,3568296677.630260
0.000000,0.000000,0.000000,0.000000,3568296677.640260
0.000000,0.000000,0.000000,0.000000,3568296677.650262
0.000000,0.000000,0.000000,0.000000,3568296677.660261
0.000000,0.000000,0.000000,0.000000,3568296677.670260
0.000000,0.000000,0.000000,0.000000,3568296677.680262
0.000000,0.000000,0.000000,0.000000,3568296677.690262
0.000000,0.000000,0.000000,0.000000,3568296677.700263
0.000000,0.000000,0.000000,0.000000,3568296677.710262
0.000000,0.000000,0.000000,0.000000,3568296677.720264
0.000000,0.000000,0.000000,0.000000,3568296677.730262
0.000000,0.000000,0.000000,0.000000,3568296677.740261
0.000000,0.000000,0.000000,0.000000,3568296677.750263
0.000000,0.000000,0.000000,0.000000,3568296677.760264
0.000000,0.000000,0.000000,0.000000,3568296677.770263
0.000000,0.000000,0.000000,0.000000,3568296677.780264
0.000000,0.000000,0.000000,0.000000,3568296677.790265
0.000000,0.000000,0.000000,0.000000,3568296677.800265
0.000000,0.000000,0.000000,0.000000,3568296677.810265
0.000000,0.000000,0.000000,0.000000,3568296677.820267
0.000000,0.000000,0.000000,0.000000,3568296677.830266
0.000000,0.000000,0.000000,0.000000,3568296677.840266
0.000000,0.000000,0.000000,0.000000,3568296677.850266
0.000000,0.000000,0.000000,0.000000,3568296677.860267
0.000000,0.000000,0.000000,0.000000,3568296677.870267
0.000000,0.000000,0.000000,0.000000,3568296677.880267
0.000000,0.000000,0.000000,0.000000,3568296677.890267
0.000000,0.000000,0.000000,0.000000,3568296677.900268
0.000000,0.000000,0.000000,0.000000,3568296677.910268
0.000000,0.000000,0.000000,0.000000,3568296677.920269
0.000000,0.000000,0.000000,0.000000,3568296677.930269
0.000000,0.000000,0.000000,0.000000,3568296677.940269
0.000000,0.000000,0.000000,0.000000,3568296677.950270
0.000000,0.000000,0.000000,0.000000,3568296677.960269
0.000000,0.000000,0.000000,0.000000,3568296677.970270
0.000000,0.000000,0.000000,0.000000,3568296677.980270
0.000000,0.000000,0.000000,0.000000,3568296677.990270
0.000000,0.000000,0.000000,0.000000,3568296678.000271
0.000000,0.000000,0.000000,0.000000,3568296678.010270
0.000000,0.000000,0.000000,0.000000,3568296678.020271
0.000000,0.000000,0.000000,0.000000,3568296678.030272
0.000000,0.000000,0.000000,0.000000,3568296678.040274
0.000000,0.000000,0.000000,0.000000,3568296678.050272
0.000000,0.000000,0.000000,0.000000,3568296678.060273
0.000000,0.000000,0.000000,0.000000,3568296678.070272
0.000000,0.000000,0.000000,0.000000,3568296678.080273
0.000000,0.000000,0.000000,0.000000,3568296678.090273
0.000000,0.000000,0.000000,0.000000,3568296678.100274
0.000000,0.000000,0.000000,0.000000,3568296678.110273
0.000000,0.000000,0.000000,0.000000,3568296678.120275
0.000000,0.000000,0.000000,0.000000,3568296678.130277
0.000000,0.000000,0.000000,0.000000,3568296678.140275
0.000000,0.000000,0.000000,0.000000,3568296678.150275
0.000000,0.000000,0.000000,0.000000,3568296678.160275
0.000000,0.000000,0.000000,0.000000,3568296678.170276
0.000000,0.000000,0.000000,0.000000,3568296678.180276
0.000000,0.000000,0.000000,0.000000,3568296678.190277
0.000000,0.000000,0.000000,0.000000,3568296678.200276
